product_id,product_title,rating,total_reviews,price,top_reviews
itmdc5308fa78421,Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,4.6,591,"₹66,990","5 Great product Best product 👍 READ MORE SHISHIR Chakma Certified Buyer , Jabalpur 3 months ago 40 4 Permalink Report Abuse || 5 Classy product Awesome Product Thank you Flipkart. READ MORE Rahul Sarraf Certified Buyer , Raxaul Bazar 1 month ago 149 32 Permalink Report Abuse || 5 Terrific purchase My first laptop and it's macbook🥺it's amazing READ MORE Amrita Dhara Certified Buyer , Haora District 1 month ago 326 83 Permalink Report Abuse || 5 Brilliant I am computer science student.  All the college work is going very smoothly. And I love it. READ MORE KRISHNENDU KAR Certified Buyer , Rajpur Sonarpur 15 days ago 21 2 Permalink Report Abuse"
itm2ea42dec44bca,Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,4.6,591,"₹66,990","5 Great product Best product 👍 READ MORE SHISHIR Chakma Certified Buyer , Jabalpur 3 months ago 40 4 Permalink Report Abuse || 5 Classy product Awesome Product Thank you Flipkart. READ MORE Rahul Sarraf Certified Buyer , Raxaul Bazar 1 month ago 149 32 Permalink Report Abuse || 5 Terrific purchase My first laptop and it's macbook🥺it's amazing READ MORE Amrita Dhara Certified Buyer , Haora District 1 month ago 326 83 Permalink Report Abuse || 5 Brilliant I am computer science student.  All the college work is going very smoothly. And I love it. READ MORE KRISHNENDU KAR Certified Buyer , Rajpur Sonarpur 15 days ago 21 2 Permalink Report Abuse"
itmad81d112ad068,Apple MacBook Air M4 - (16 GB/256 GB SSD/macOS Sequoia) MW0Y3HN/A,4.7,131,"₹94,990","5 Must buy! One word, Amazing! READ MORE Tanmay Sarkar Certified Buyer , South Twenty Four Parganas District 6 months ago 26 3 Permalink Report Abuse || 5 Simply awesome Heres the breakdown : 1. Battery - 10/10 2. Screen - 10/10, I'm coming from a 180hz Display on my PC and 120Hz from my phone, but I didn't at all feel any issues with the 60hz screen. The software is so well optimized, it feels even smoother than 120hz. Brightness is awesome, colours are the best I've seen. Great for writing, coding and media consumption. 3. Performance - M4 is the best here till date. For the given form factor, its the best portable lightweight and smooth experience. It... READ MORE Avi  Biswas Certified Buyer , Bengaluru 6 months ago 45 9 Permalink Report Abuse || 5 Wonderful Macbook Air is remarkably thin, M4 performance is superb no leg observed.The newly launched sky blue colour looks stunning, READ MORE Rohit Garg Certified Buyer , Kishangarh Ajmer District 6 months ago 19 2 Permalink Report Abuse || 5 Terrific purchase Best MacBook for most ppl. With 16gb starting this is 100% paisa vasool for performance. READ MORE Madan  Vivekanandan Certified Buyer , Chennai 7 months ago 188 57 Permalink Report Abuse"
itmb1aa0cc739560,Apple MacBook Air M3 - (8 GB/256 GB SSD/macOS Sonoma) MRYU3HN/A,4.7,24,"₹1,24,900","5 Worth every penny Its original😅❤️ READ MORE Flipkart Customer Certified Buyer , Jaipur Jul, 2024 68 19 Permalink Report Abuse || 5 Terrific purchase Just loved it... For Apple u need not to see reviews just go for it without second thought... Machine is absolutely fast and user experience is unbelievable... Battery backup is also very good READ MORE Flipkart  Customer Certified Buyer , Goasafat Apr, 2024 75 29 Permalink Report Abuse || 5 Wonderful The device is an absolute beast. Battery is unbelievable. 50% battery is enough for a day. Extremely fast and smooth. The trackpad is amazing with those heptic feedbacks. READ MORE Sayak Pan Certified Buyer , New Delhi Aug, 2024 37 22 Permalink Report Abuse || 5 Brilliant I just migrated from Windows to Mac, feeling good, luxurious. For MacBook users I think, mouse is not really required for daily tasks. Trackpad is wonderful, READ MORE Nagaraj Sinhasan Certified Buyer , Bengaluru Oct, 2024 7 2 Permalink Report Abuse"
itmb1aa0cc739560,Apple M3 - (16 GB/256 GB SSD/macOS Sequoia) MC8K4HN/A,4.6,41,"₹1,07,299","5 Wonderful Best 👍quality READ MORE Rahul Rai Certified Buyer , Siliguri May, 2024 91 17 Permalink Report Abuse || 4 Good quality product Original product received. READ MORE Nissar Choudhary Certified Buyer , Thane 11 months ago 11 0 Permalink Report Abuse || 5 Great product Must Buy READ MORE Thirumala Vidya Sagar S Certified Buyer , Madanapalle 10 months ago 15 1 Permalink Report Abuse || 4 Pretty good Peak perfomence 📈❤️ READ MORE Faizul Shaik Certified Buyer , Ysr District Jun, 2024 8 0 Permalink Report Abuse"
itm1df5212efb9fc,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,4.4,"1,139","₹51,500","5 Awesome Battery too good, It Feels Premium, If you are looking for it just go for it. Overall no competition 🔥 Love this one 🫶❤️ READ MORE Ishan  Ganorkar Certified Buyer , Amravati District Jul, 2024 343 79 Permalink Report Abuse || 5 Terrific purchase That is nice laptop at this price,  if you can find a laptop for college and other work you can choice this laptop Battery 7 -8 hours Display - 4.6/5 Performance- 4.7/5 Gaming- 4.1/5 Office work/coding /other - 10/10 READ MORE Nitin Certified Buyer , Rohtak Aug, 2024 206 44 Permalink Report Abuse || 5 Excellent Compact and powerful laptop. READ MORE Manu sleeba Certified Buyer , Kureekkad Jul, 2024 86 15 Permalink Report Abuse || 5 Must buy! Good product with good design and performance. Comparing to other brands it is slightly expensive but I got it with attractive offers. READ MORE Vasim Haris Certified Buyer , Thrissur Jul, 2024 230 54 Permalink Report Abuse"
